director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords
Rakeysh Omprakash Mehra,Anupam Kher,Steven Mackintosh,Madhavan,Comedy Drama History Romance,rang de basanti,freedom friend india student urination
Collin Schiffli,Kim Shaw,John Heard,David Dastmalchian,Drama,animals,drug addict drug addiction drug use drugs junkie
George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,Action Comedy Drama Thriller,salvation boulevard,cross doused with gasoline pastor security guard shower
David Wain,Jon Hamm,Ken Marino,Ron Silver,Comedy Romance,the ten,death mexico sabbath surgeon ten stories
Shane Meadows,Bob Hoskins,Paddy Considine,Shane Meadows,Comedy Drama,a room for romeo brass,betrayal family relationships friendship psychosis stranger
Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Julie R. Ølgaard,Crime Drama Thriller,headhunters,art thief male frontal nudity male nudity male star appears nude painting
Jon Wright,Russell Tovey,Richard Coyle,Bronagh Gallagher,Comedy Horror Sci-Fi Thriller,grabbers,bathtub eaten alive ferry boat lobster trap sprinkler system
Michael McGowan,Campbell Scott,Adam Butcher,Gordon Pinsent,Comedy Drama Sport,saint ralph,boston marathon coma marathon miracles running
Liv Ullmann,Samantha Morton,Jessica Chastain,Colin Farrell,Drama Romance,miss julie,kissing someone's boot midsummer telling someone to shut up two word title valet
Jeannot Szwarc,Teresa Wright,Bill Erwin,George Voskovec,Drama Fantasy Romance,somewhere in time,hotel love love across time time travel time travel romance
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik,Action Crime Drama Thriller,dum maaro dum,airport drugs loss of loved one police title based on song
James Wan,Lin Shaye,Barbara Hershey,Leigh Whannell,Fantasy Horror Thriller,insidious: chapter 2,barricading a door injection in leg police detective supernatural taser
Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,Horror Mystery,saw ii,death detective nerve gas serial killer trap
Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,Drama Horror Mystery Sci-Fi Thriller,10 cloverfield lane,alien bunker car crash kidnapping minimal cast
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Comedy Documentary,jackass: the movie,alligator golf japan panda stunt
David F. Sandberg,Billy Burke,Amiah Miller,Gabriel Bateman,Horror,lights out,based on short film reference to avenged sevenfold reference to slayer switching lights on and off two word title
Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,Horror,paranormal activity 3,animate object imaginary friend reference to macgyver whispering woman wearing only a man's shirt
Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,Fantasy Horror,ouija,death of girlfriend funeral ghost ouija spirit
Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,Action Fantasy Horror Thriller,a nightmare on elm street 3: dream warriors,dream freddy krueger killer nightmare springwood ohio
Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,Mystery Thriller,the gift,compulsive liar fired from a job gift rape substance abuse
Eugenio Derbez,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,Comedy Drama,instructions not included,father daughter relationship
Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,Horror,paranormal activity 4,boy in a bathtub demon laptop computer pulled underwater walking in the dark
Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Drama History,the robe,box office hit crucifixion nightmare palestine robe
Blake Edwards,Burt Kwouk,Herbert Lom,Catherine Schell,Comedy Crime Mystery,the return of the pink panther,clouseau diamond panther pink pink panther
Rachel Talalay,Johnny Depp,Tom Arnold,Yaphet Kotto,Comedy Fantasy Horror Thriller,freddy's dead: the final nightmare,dark comedy dream freddy krueger nightmare serial murder
Patty Jenkins,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,Biography Crime Drama Thriller,monster,beach female criminal hooker lesbian prostitute
Richard Fleischer,James Mason,Robert J. Wilke,Paul Lukas,Adventure Drama Family Fantasy Sci-Fi,"20,000 leagues under the sea",captain expedition sea submarine whale
Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,Fantasy Horror Thriller,paranormal activity: the marked ones,apartment blood demonic possession neighbor pentagram
David Lynch,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,Biography Drama,the elephant man,curiosity exploitation freak hospital physical deformity
Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Denis O'Hare,Biography Drama,dallas buyers club,drugs fda gay community hiv homophobia
David Gelb,Olivia Wilde,Mark Duplass,Donald Glover,Horror Sci-Fi Thriller,the lazarus effect,electrocuted experiment hell serum university
Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,Mystery Thriller,memento,flashback memory murder short term memory telephone
Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,Horror Mystery,oculus,home office mirror released from a mental hospital trauma video camera
Kevin Smith,Ethan Suplee,Jason Mewes,Brian O'Halloran,Comedy,clerks ii,fast food fast food restaurant new jersey quick stop restaurant
Stephen Daldry,Julie Walters,Gary Lewis,Jamie Draven,Drama Music,billy elliot,audition ballet boxing miner miners strike
Nat Faxon,Steve Carell,Liam James,Jim Rash,Comedy Drama,the way way back,awkward boy shy kid summer vacation water park
George Jackson,William Schallert,Tisha Campbell-Martin,Helen Martin,Comedy Drama Music Romance,house party 2,college misogyny money new friend party
George Miller,Tony Bonner,Jack Thompson,Tom Burlinson,Adventure Drama Family Romance Western,the man from snowy river,australia brumby ranch stallion twin
Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,Animation Comedy Family,doug's 1st movie,dance friend monster reference to batman valentine
Robert Duvall,John Beasley,Todd Allen,June Carter Cash,Drama,the apostle,church louisiana minister preacher texas
Frank Perry,Faye Dunaway,Xander Berkeley,Diana Scarwid,Biography Drama,mommie dearest,abusive mother adopted daughter borderline personality disorder perfection sadistic cruelty
Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,Comedy Drama,our idiot brother,art model farmer jail nude model three sisters
Stephen Hopkins,William Hurt,Tony Curran,David Kross,Biography Drama Sport,race,1930s athlete nazi germany olympics track and field
Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,Comedy Drama,the players club,catfight dominatrix rape spanking stripper
Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,Drama Romance Thriller,o,basketball basketball player boarding school love shakespeare's othello
John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,Horror Mystery Thriller,"as above, so below",archeologist catacomb found footage paris france philosopher's stone
Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,Drama Thriller,addicted,adultery attraction lust obsession temptation
Kasi Lemmons,Jurnee Smollett-Bell,Lynn Whitfield,Diahann Carroll,Drama,eve's bayou,doctor louisiana secret title directed by female witchcraft
Richard Glatzer,Kristen Stewart,Hunter Parrish,Seth Gilliam,Drama,still alice,alzheimer's disease bechdel test passed linguistics professor new york city reference to angels in america the play
Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,Drama History,the egyptian,afterlife egypt pharaoh princess pyramid
Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Action Crime Thriller,nighthawks,bomb new york city partner shooting terrorist
Rob Hedden,Kane Hodder,Peter Mark Richman,Scott Reeves,Adventure Horror,friday the 13th part viii: jason takes manhattan,cult film friday the thirteenth hockey mask jason voorhees murder spree
Joel Zwick,Nia Vardalos,Louis Mandylor,Lainie Kazan,Comedy Family Romance,my big fat greek wedding,baptism greek greek restaurant prejudice travel agency
Harmony Korine,James Franco,Heather Morris,Rachel Korine,Crime Drama,spring breakers,kissing a dead body repeated dialogue sex in pool spring break twins
Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Horror Thriller,halloween: the curse of michael myers,halloween michael myers nudity returning character with different actor slasher flick
Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Adventure Comedy Drama Romance,y tu mamá también,beach cleaning a swimming pool male male kiss mexico on the road
Edgar Wright,Peter Serafinowicz,Dylan Moran,Rafe Spall,Comedy Horror,shaun of the dead,british horror pub record collection zombie zombie apocalypse
Mickey Liddell,Jessica Lowndes,Randy Wayne,Haley Bennett,Drama Horror Thriller,the haunting of molly hartley,18th birthday birthday community center resurrection teenager
John Sayles,Matthew McConaughey,Clifton James,Miriam Colon,Drama Mystery,lone star,father son relationship interracial relationship neo western sheriff texas
Dwight H. Little,Donald Pleasence,Kathleen Kinmont,Ellie Cornell,Horror Thriller,halloween 4: the return of michael myers,halloween michael myers murder niece october
Fred Walton,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,Horror Mystery,april fool's day,april fool's day island mansion psycho secret
Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,Comedy Drama,diner,baltimore colts diner marriage salesman wedding
Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,lone wolf mcquade,drugs martial arts texas texas ranger weapon
Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,apollo 18,cosmonaut footprint found footage moon secret mission
Christine Jeffs,Clifton Collins Jr.,Mary Lynn Rajskub,Paul Dooley,Comedy Drama,sunshine cleaning,business crime scene cleanup private school school sister sister relationship
John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,no escape,asia fictional country hotel rebellion revolution
Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,Action Adventure Fantasy,the beastmaster,breasts critically acclaimed female frontal nudity psychotronic film sword and sorcery
King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,Drama History Romance War,solomon and sheba,king pharaoh queen queen of sheba tribe
Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,Comedy,fifty shades of black,color in title parody reference to cuba gooding jr reference to netflix written by star
Bill Duke,Eddie Cibrian,Jenifer Lewis,Wood Harris,Drama Romance,not easily broken,african american protagonist based on novel title spoken by character
Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Drama Romance War,a farewell to arms,1910s ambulance driver italy lake nurse
Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,Action Adventure Animation Family Sci-Fi,digimon: the movie,based on video game box office hit computer digimon internet
Brian Dannelly,Macaulay Culkin,Patrick Fugit,Eva Amurri Martino,Comedy Drama,saved!,christian jewish pastor school virginity
Denys Arcand,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,the barbarian invasions,cancer dying friend money socialist
Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,Adventure Drama Romance,robin and marian,crusades friar robin hood sheriff sheriff of nottingham
J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,Horror Thriller,the forsaken,flashing breasts hitchhiker vampire vampire hunter virus
Guy Hamilton,Harrison Ford,Carl Weathers,Franco Nero,Action Drama War,force 10 from navarone,colonel mission partisan spy traitor
Jay Levey,Fran Drescher,Gedde Watanabe,Michael Richards,Comedy Drama,uhf,gambling imagination television television station tv show
Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones,Comedy,grandma's boy,co worker game tester loss of virginity roommate snack
Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,Comedy Drama,slums of beverly hills,flatulence menstrual blood nomad nursing school title directed by female
Sergio Leone,Claudia Cardinale,Woody Strode,Jack Elam,Western,once upon a time in the west,gang gun harmonica killing woman in bathtub
Jon Favreau,Jon Favreau,Faizon Love,Jonathan Silverman,Comedy Crime Drama Thriller,made,friendship loudmouth money laundering new york city stripper
Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,moon,computer contract earth moon solitude
Scott Marshall,Miranda Cosgrove,Jami Gertz,Carter Jenkins,Comedy,keeping up with the steins,bar mitzvah carried in a chair hebrew party rite of passage
Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,sea rex 3d: journey to a prehistoric world,3d imax plesiosaur sea water
Atom Egoyan,Bruce Greenwood,Sarah Polley,Simon Baker,Drama,the sweet hereafter,anger bus child lawyer school
Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Drama,of gods and men,catholic church community monastery monk terrorist
Randall Miller,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy Drama,bottle shock,airport california flat tire overalls wine
Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,Comedy Music Sci-Fi,jekyll and hyde... together again,breasts growing coors light drugs hospital spinning in grave
Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,Biography Crime Drama Romance Thriller,heavenly creatures,fantasy life friend friendship love teenage crush
Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,Drama,90 minutes in heaven,heaven hospital praying pronounced dead recovery
Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,Comedy Drama,everything must go,alcoholic beer bicycle new neighbor yard sale
Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,zero effect,blackmail client private detective private investigator tycoon
Brad Anderson,Christian Bale,Jennifer Jason Leigh,Reg E. Cathey,Drama Thriller,the machinist,alienation conscience insomnia paranoia urban gothic
Paul Schrader,Dana Delany,Jane Adams,David Clennon,Crime Drama,light sleeper,bare breasts drugs existentialism new york city redemption
Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,kill the messenger,based on true story cia cocaine journalist smear campaign
John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,Drama,rabbit hole,car comic book comic book artist iphone memory
Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,Biography Crime Drama Thriller,party monster,drug dealer drugs gay homosexual party
Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,green room,murder neo nazi punk band skinhead suspense
Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,the oh in ohio,marriage orgasm school sex swimming
James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,box office flop critically bashed economy individual versus society rescue
Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy Crime Drama,bottle rocket,caper escapade motel robbery texas
Kevin Spacey,Viggo Mortensen,Joe Mantegna,Faye Dunaway,Crime Drama Thriller,albino alligator,bar box office flop hostage new orleans louisiana police
Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography Drama History,"gandhi, my father",africa hindu india muslim south africa
Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,standard operating procedure,abu ghraib abuse prison slow motion torture
Dennis Hopper,Raymond Burr,Don Gordon,Jim Byrnes,Drama,out of the blue,explosion hitchhiking punk trauma truck driver
Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,Comedy Horror,tucker and dale vs evil,cabin chainsaw college kid hillbilly vacation
Nicholas Fackler,Adam Scott,Ellen Burstyn,Martin Landau,Drama Romance,"lovely, still",christmas fable old man
Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,Adventure Drama Romance,tycoon,engineer ethics mountain railroad south america
Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,Drama,desert blue,cola desert ice cream cone teenage girl vomiting
Matthew Hastings,Meghan Ory,Marc Trottier,Corey Sevier,Comedy Horror Sci-Fi,decoys,breasts campus college tentacle virginity
M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,Horror Thriller,the visit,farm handheld camera impostor rap rock paper scissors
Brian De Palma,Mike Figueroa,Daniel Stewart Sherman,Kel O'Neill,Crime Thriller War,redacted,blood splatter iraq murder rape soldier
Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,fascination,death love marriage secret suspicion
Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,Horror Sci-Fi Thriller,area 51,alien alien abduction conspiracy secret base ufo
Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,Drama Horror Thriller,sleep tight,apartment concierge girl hitchcockian stalking
Paul Andrew Williams,Dave Legeno,Doug Bradley,Georgia Groome,Comedy Crime Horror Thriller,the cottage,countryside deformed farmer gangster kidnapping
Stephen Herek,Henry Ian Cusick,Callum Blue,Shenae Grimes-Beech,Comedy Drama Fantasy,dead like me: life after death,african american policeman police policeman policewoman vomiting
Bob Saget,Alyson Hannigan,John Stamos,Jim Belushi,Animation Comedy,farce of the penguins,flatulence march penguin south pole spoof
William H. Macy,Billy Crudup,Felicity Huffman,David Adam Flannery,Comedy Drama Music,rudderless,demo tape directed by cast member grieving father guitar guitar player
Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,Animation Family,henry & me,bare butt baseball children new york yankees surrealism
Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,Crime Drama Thriller,we have your husband,abduction based on true story mexico
Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,Drama Thriller,dying of the light,cia individualism mental illness religion revenge
Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,Action Drama Thriller War,born of war,fight mina murder revenge terrorist
Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,Action Sci-Fi Thriller,capricorn one,astronaut hoax journalist mission nasa
Kevin Smith,Johnny Depp,Haley Joel Osment,Natasha Lyonne,Comedy Fantasy Horror Thriller,yoga hosers,part of trilogy second part
Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,Action Horror,navy seals vs. zombies,building infection navy seal shot through the head zombie
Jirí Menzel,Julia Jentsch,Ivan Barnev,Milan Lasica,Comedy Drama Romance War,i served the king of england,hotel legs lingerie waiter wealth
Fatih Akin,Udo Kier,Moritz Bleibtreu,Birol Ünel,Comedy Drama,soul kitchen,2000s burglar chef cook restaurant
Billy Bob Thornton,Robert Duvall,Dwight Yoakam,J.T. Walsh,Drama,sling blade,friend mental institution murder repair shop small town
Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,Horror Thriller,the awakening,boarding school boy british horror ghost school
Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,Horror,hostel,bratislava hostel sadistic horror torture travel
Michael Winterbottom,Steve Coogan,Shirley Henderson,Dylan Moran,Comedy Drama,tristram shandy: a cock and bull story,actor playing himself battle boots penis womb
Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,Drama Thriller,take shelter,ambiguous ending firefly mysterious event schizophrenia storm
Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,lady in white,1960s boy ghost murder small town
Jeremy Brock,Rupert Grint,Julie Walters,Tamsin Egerton,Comedy Drama,driving lessons,actress coming of age retired actress teenage boy vomiting
Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,Comedy Crime,let's kill ward's wife,apology death group of friends sex toilet
Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow,Comedy Horror,the texas chainsaw massacre 2,chainsaw chainsaw murder human monster music score composed by director obscene finger gesture
Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,Biography Drama Romance Western,pat garrett & billy the kid,bare breasts flogging human branding man slaps a woman manhunt
Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,Crime Drama,only god forgives,brutal cop drug dealer punishment thai boxing vengeance
Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,camping sauvage,cabin girl fight jealousy sailing boat tent
Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,Comedy,without men,bare chested male journalist passion pregnancy woman in underwear
Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,Drama Romance,dear frankie,boy dock letter seaside stranger
Leonard Farlinger,Keith Carradine,Gary Farmer,Stephen McHattie,Western,all hat,contemporary west cowboy horse jockey neo western
Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,Comedy Drama Romance,the names of love,activist promiscuous daughter promiscuous woman sex in a bed voyeurism
Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,Drama,savage grace,incest male nudity older man younger woman relationship orgasm son murders mother
Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime Drama,out of the blue,true crime
Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,police academy,misfit police police academy police cadet police officer
Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,Adventure Drama Romance,the blue lagoon,coming of age island poison teenage boy teenage girl
Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,Comedy Drama Romance,four weddings and a funeral,1990s chick flick funeral gay relationship wedding
Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,Comedy Drama,fast times at ridgemont high,break up california high school surfer teacher
John Huston,Royal Dano,Richard Basehart,James Robertson Justice,Adventure Drama,moby dick,obsession revenge ship whale whaling
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,Drama,25th hour,bar dream drug dealing nightclub widower
Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime Drama Romance Thriller,bound,gangster lesbian mafia money neo noir
Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,Drama,requiem for a dream,addiction diet pill drug addiction fast motion scene heroin
Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,Musical Romance,state fair,fair farm iowa newspaper state fair
Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,Drama Musical,tango,dancer director love musical filmmaking tango
Oliver Stone,Jim Belushi,John Savage,Juan Fernández,Drama History Thriller War,salvador,1980s el salvador political thriller reagan administration war journalism
Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,Comedy,moms' night out,blogger pastor reference to the shawshank redemption taser tasered
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,Drama Sci-Fi Thriller,donnie darko,1980s death insanity parallel universe time travel
Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,Adventure Comedy Western,saving private perez,conflicted hero flashback mission rescue rescue mission
Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,Crime Drama Mystery,character,bailiff lawyer office police school
Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,Comedy Crime Drama,spun,male nudity meth meth lab nudity speed freak
Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,Comedy Drama,life during wartime,forgiveness ghost new jersey pedophile three sisters
Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,Crime Drama,lady vengeance,cake christian lesbian sex oral sex pregnant schoolgirl
René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,Biography Drama Music Romance,mozart's sister,mozart musical prodigy royal court singer talent
Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,Comedy Drama Sport,mean machine,inmate prison prison guard soccer soccer star
Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,Action Crime Thriller,exiled,baby friendship macau practical joke selfie
Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,Action Adventure Western,blackthorn,assumed identity bolivia butch cassidy doctor thief
Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,Crime Drama,lilya 4-ever,abandoned by mother poverty sex trade teenage prostitution unpaid bill
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,after.life,breath on mirror buried alive engagement ring looking at one's self in a mirror serial killer
Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,Drama,one flew over the cuckoo's nest,1960s escape mental institution nurse sexuality
Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,Comedy,r.l. stine's monsterville: the cabinet of souls,cabinet carnival halloween soul temptress
Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,Comedy Romance,silent movie,black comedy friend modern silent movie silent movie two word title
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,Action Drama History Thriller War,airlift,1990s businessman evacuation historical fiction kuwait
Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,Action Crime Drama,the sweeney,bank criminal detective flying squad policewoman
Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,Crime Thriller,sexy beast,boulder gangster one last job spain villa
Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,Action Crime Drama Thriller,easy money,double life drugs financial crisis first part serbian
Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,Drama Family,whale rider,girl maori new zealand tradition whale
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,paa,adult actor playing minor politician progeria reference to spiderman school
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,23rd century lucid dream outer space space travel trapped in space
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,1940s child hero fantasy world orphan reference to peter pan
Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,Comedy Drama Family Music Musical Romance,high school musical,audition basketball high school singing teenager
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,Comedy Drama,love and death on long island,actor love obsession obsessive love star
Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,Fantasy Thriller,night watch,battle bridge mother son relationship supernatural power vampire
Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,Crime Drama Romance Thriller,the crying game,androgynous full frontal male nudity irish republican army psychological drama tragic love
Bob Clark,Art Hindle,Susan Clark,Tony Ganios,Comedy,porky's,female full frontal nudity revenge school sheriff virginity
George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,Horror,survival of the dead,delaware feud island undead zombie
George A. Romero,Judith O'Dea,Duane Jones,S. William Hinzman,Drama Horror Mystery,night of the living dead,cemetery farmhouse radiation running out of gas zombie
Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,Drama,lost in translation,fish out of water japanese loneliness older man younger woman relationship unlikely friendship
Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,Comedy Romance,annie hall,breaking the fourth wall comedian jewish neurosis singer
Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,Drama Family Romance,the greatest show on earth,circus clown elephant trainer trapeze trapeze artist
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings,egypt exodus moses pharaoh plague
Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown,Drama Romance,monster's ball,cunnilingus female frontal nudity female nudity interracial sex rear entry sex
Henry Hobson,Joely Richardson,J.D. Evermore,David A Cole,Drama Horror,maggie,father daughter relationship playing against type post apocalypse protective father zombie apocalypse
Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,Drama Romance,leaving las vegas,alcoholic bar love prostitute sex
Duane Journey,Molly C. Quinn,Lara Flynn Boyle,Lochlyn Munro,Comedy Horror,hansel & gretel get baked,hansel and gretel lesbian kiss marijuana witch witchcraft
Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph,Comedy Horror Sci-Fi,the return of the living dead,crematorium female frontal nudity naked dead woman paramedic poison gas
Billy Wilder,Austin Pendleton,Harold Gould,David Wayne,Comedy Drama Romance,the front page,1920s communist escape from jail newspaper reporter
Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,Mystery Thriller,the boy next door,adultery argument older woman younger man relationship oral sex sex scene
