director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords,comb
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,paa,adult actor playing minor politician progeria reference to spiderman school,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama adult actor playing minor politician progeria reference to spiderman school
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,cargo,23rd century lucid dream outer space space travel trapped in space,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller 23rd century lucid dream outer space space travel trapped in space
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,1940s child hero fantasy world orphan reference to peter pan,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy 1940s child hero fantasy world orphan reference to peter pan
Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,Comedy Drama Family Music Musical Romance,high school musical,audition basketball high school singing teenager,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance audition basketball high school singing teenager
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,Comedy Drama,love and death on long island,actor love obsession obsessive love star,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama actor love obsession obsessive love star
Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,Fantasy Thriller,night watch,battle bridge mother son relationship supernatural power vampire,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller battle bridge mother son relationship supernatural power vampire
Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,Crime Drama Romance Thriller,the crying game,androgynous full frontal male nudity irish republican army psychological drama tragic love,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller androgynous full frontal male nudity irish republican army psychological drama tragic love
Bob Clark,Art Hindle,Susan Clark,Tony Ganios,Comedy,porky's,female full frontal nudity revenge school sheriff virginity,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy female full frontal nudity revenge school sheriff virginity
George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,Horror,survival of the dead,delaware feud island undead zombie,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror delaware feud island undead zombie
Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,Drama,lost in translation,fish out of water japanese loneliness older man younger woman relationship unlikely friendship,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama fish out of water japanese loneliness older man younger woman relationship unlikely friendship
Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,Comedy Romance,annie hall,breaking the fourth wall comedian jewish neurosis singer,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance breaking the fourth wall comedian jewish neurosis singer
Cecil B. DeMille,Gloria Grahame,Dorothy Lamour,Cornel Wilde,Drama Family Romance,the greatest show on earth,circus clown elephant trainer trapeze trapeze artist,Gloria Grahame Dorothy Lamour Cornel Wilde Cecil B. DeMille Drama Family Romance circus clown elephant trainer trapeze trapeze artist
Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings,egypt exodus moses pharaoh plague,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama egypt exodus moses pharaoh plague
Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown,Drama Romance,monster's ball,cunnilingus female frontal nudity female nudity interracial sex rear entry sex,Heath Ledger Peter Boyle Marcus Lyle Brown Marc Forster Drama Romance cunnilingus female frontal nudity female nudity interracial sex rear entry sex
Henry Hobson,Joely Richardson,J.D. Evermore,David A Cole,Drama Horror,maggie,father daughter relationship playing against type post apocalypse protective father zombie apocalypse,Joely Richardson J.D. Evermore David A Cole Henry Hobson Drama Horror father daughter relationship playing against type post apocalypse protective father zombie apocalypse
Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,Drama Romance,leaving las vegas,alcoholic bar love prostitute sex,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance alcoholic bar love prostitute sex
Duane Journey,Molly C. Quinn,Lara Flynn Boyle,Lochlyn Munro,Comedy Horror,hansel & gretel get baked,hansel and gretel lesbian kiss marijuana witch witchcraft,Molly C. Quinn Lara Flynn Boyle Lochlyn Munro Duane Journey Comedy Horror hansel and gretel lesbian kiss marijuana witch witchcraft
Dan O'Bannon,Linnea Quigley,Clu Gulager,Beverly Randolph,Comedy Horror Sci-Fi,the return of the living dead,crematorium female frontal nudity naked dead woman paramedic poison gas,Linnea Quigley Clu Gulager Beverly Randolph Dan O'Bannon Comedy Horror Sci-Fi crematorium female frontal nudity naked dead woman paramedic poison gas
Billy Wilder,Austin Pendleton,Harold Gould,David Wayne,Comedy Drama Romance,the front page,1920s communist escape from jail newspaper reporter,Austin Pendleton Harold Gould David Wayne Billy Wilder Comedy Drama Romance 1920s communist escape from jail newspaper reporter
Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,Mystery Thriller,the boy next door,adultery argument older woman younger man relationship oral sex sex scene,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller adultery argument older woman younger man relationship oral sex sex scene
Carol Reed,Gina Lollobrigida,Katy Jurado,Sidney James,Drama Romance,trapeze,acrobat circus cripple trapeze trapeze artist,Gina Lollobrigida Katy Jurado Sidney James Carol Reed Drama Romance acrobat circus cripple trapeze trapeze artist
Lisa Cholodenko,Josh Hutcherson,Mia Wasikowska,Yaya DaCosta,Comedy Drama,the kids are all right,biological father college motorcycle sperm sperm donor,Josh Hutcherson Mia Wasikowska Yaya DaCosta Lisa Cholodenko Comedy Drama biological father college motorcycle sperm sperm donor
John Carpenter,Meg Foster,Peter Jason,George 'Buck' Flower,Horror Sci-Fi Thriller,they live,alien brainwashing construction worker sunglasses teleportation,Meg Foster Peter Jason George 'Buck' Flower John Carpenter Horror Sci-Fi Thriller alien brainwashing construction worker sunglasses teleportation
John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,Adventure Drama History Thriller War,the great escape,digging escape escape attempt prisoner tunnel,James Coburn Donald Pleasence Gordon Jackson John Sturges Adventure Drama History Thriller War digging escape escape attempt prisoner tunnel
William Arntz,Marlee Matlin,Elaine Hendrix,Armin Shimerman,Comedy Documentary Drama Fantasy Mystery Sci-Fi,what the #$*! do we (k)now!?,consciousness photographer radical science scientist,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi consciousness photographer radical science scientist
Ed Gass-Donnelly,Muse Watson,Spencer Treat Clark,Ashley Bell,Drama Horror Thriller,the last exorcism part ii,car fire evil hospital hotel prophecy,Muse Watson Spencer Treat Clark Ashley Bell Ed Gass-Donnelly Drama Horror Thriller car fire evil hospital hotel prophecy
Richard Linklater,Ellar Coltrane,Lorelei Linklater,Libby Villari,Drama,boyhood,12 year time span coming of age domestic abuse growing up separated parents,Ellar Coltrane Lorelei Linklater Libby Villari Richard Linklater Drama 12 year time span coming of age domestic abuse growing up separated parents
Woody Allen,Scarlett Johansson,Kevin McNally,Geoff Bell,Comedy Crime Mystery,scoop,english garden fake drowning fake parent musical instrument poker the card game,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery english garden fake drowning fake parent musical instrument poker the card game
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Action Adventure Sci-Fi Thriller,planet of the apes,astronaut cage planet wilhelm scream year 2029,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action Adventure Sci-Fi Thriller astronaut cage planet wilhelm scream year 2029
DJ Pooh,Angell Conwell,Dr. Dre,DJ Pooh,Comedy,the wash,african american stereotype car wash rent roommate threatening telephone call,Angell Conwell Dr. Dre DJ Pooh DJ Pooh Comedy african american stereotype car wash rent roommate threatening telephone call
DJ Pooh,Mo'Nique,Mike Epps,Faizon Love,Comedy,3 strikes,adult diaper diaper digit in title dream sawed off shotgun,Mo'Nique Mike Epps Faizon Love DJ Pooh Comedy adult diaper diaper digit in title dream sawed off shotgun
Wayne Kramer,Estella Warren,Paul Sorvino,Shawn Hatosy,Crime Drama Fantasy Romance,the cooler,female pubic hair girl in panties leg spreading public nudity sex in bed,Estella Warren Paul Sorvino Shawn Hatosy Wayne Kramer Crime Drama Fantasy Romance female pubic hair girl in panties leg spreading public nudity sex in bed
John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,Drama Romance Western,the misfits,cowboy divorce horse sexy wild horse,Montgomery Clift Kevin McCarthy Thelma Ritter John Huston Drama Romance Western cowboy divorce horse sexy wild horse
Patrick Stettner,Robin Williams,Joe Morton,Rory Culkin,Crime Mystery Thriller,the night listener,boy radio show social worker telephone wisconsin,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller boy radio show social worker telephone wisconsin
James Melkonian,Vincent Pastore,William Hickey,Peter Appel,Comedy Crime,the jerky boys,critically bashed mafia police telephone unemployment,Vincent Pastore William Hickey Peter Appel James Melkonian Comedy Crime critically bashed mafia police telephone unemployment
Wes Craven,Frank Grillo,Emily Meade,Zena Grey,Horror Mystery Thriller,my soul to take,evil killer murder psychopath serial killer,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller evil killer murder psychopath serial killer
J.A. Bayona,Geraldine Chaplin,Belén Rueda,Fernando Cayo,Drama Mystery Thriller,the orphanage,dead children ghost missing child orphan orphanage,Geraldine Chaplin Belén Rueda Fernando Cayo J.A. Bayona Drama Mystery Thriller dead children ghost missing child orphan orphanage
Michael Tiddes,Ashley Rickards,Essence Atkins,Gabriel Iglesias,Comedy Fantasy,a haunted house 2,bare breasts parody sexual innuendo slip and fall squirting orgasm,Ashley Rickards Essence Atkins Gabriel Iglesias Michael Tiddes Comedy Fantasy bare breasts parody sexual innuendo slip and fall squirting orgasm
Roger Avary,Ian Somerhalder,Faye Dunaway,Clifton Collins Jr.,Comedy Drama Romance,the rules of attraction,bisexual college drug dealer drugs student,Ian Somerhalder Faye Dunaway Clifton Collins Jr. Roger Avary Comedy Drama Romance bisexual college drug dealer drugs student
Alfred Hitchcock,Roscoe Lee Browne,John Vernon,Philippe Noiret,Drama Thriller,topaz,1960s agent cuba intelligence spy,Roscoe Lee Browne John Vernon Philippe Noiret Alfred Hitchcock Drama Thriller 1960s agent cuba intelligence spy
Bob Odenkirk,Dylan Baker,Chi McBride,Amy Hill,Comedy Crime,let's go to prison,illinois judge male full back nudity revenge wine tasting,Dylan Baker Chi McBride Amy Hill Bob Odenkirk Comedy Crime illinois judge male full back nudity revenge wine tasting
Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,Comedy Fantasy,four rooms,bellhop coven gangster hotel new year's eve,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy bellhop coven gangster hotel new year's eve
Steven Shainberg,Jeremy Davies,Stephen McHattie,Lesley Ann Warren,Comedy Drama Romance,secretary,bdsm employer employee relationship hospital mental hospital secretary,Jeremy Davies Stephen McHattie Lesley Ann Warren Steven Shainberg Comedy Drama Romance bdsm employer employee relationship hospital mental hospital secretary
Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,Documentary,the real cancun,cancun mexico mexico spring break vacation wisconsin,Laura Ramsey Alan Taylor Benjamin Fletcher Rick de Oliveira Documentary cancun mexico mexico spring break vacation wisconsin
Oliver Stone,Michael Wincott,Zach Grenier,Bill Johnson,Drama,talk radio,listener neo nazi radio radio station radio talk show,Michael Wincott Zach Grenier Bill Johnson Oliver Stone Drama listener neo nazi radio radio station radio talk show
Christopher Guest,Catherine O'Hara,Fred Willard,Larry Miller,Comedy,waiting for guffman,amateur theater dentist missouri small town travel agent,Catherine O'Hara Fred Willard Larry Miller Christopher Guest Comedy amateur theater dentist missouri small town travel agent
Jeff Franklin,Ivana Milicevic,Tyra Banks,Bridgette Wilson-Sampras,Comedy,love stinks,black comedy marriage marriage proposal not taking no for an answer obsessive woman,Ivana Milicevic Tyra Banks Bridgette Wilson-Sampras Jeff Franklin Comedy black comedy marriage marriage proposal not taking no for an answer obsessive woman
John Dahl,Philip Baker Hall,Aaron Hughes,Jayne Eastwood,Comedy Crime Romance Thriller,you kill me,alcoholic buffalo new york claim in title embalming mortuary,Philip Baker Hall Aaron Hughes Jayne Eastwood John Dahl Comedy Crime Romance Thriller alcoholic buffalo new york claim in title embalming mortuary
Mike Mills,Kelli Garner,Lou Taylor Pucci,Nancy O'Dell,Comedy Drama,thumbsucker,attention deficit disorder debate drugs psychologist school,Kelli Garner Lou Taylor Pucci Nancy O'Dell Mike Mills Comedy Drama attention deficit disorder debate drugs psychologist school
Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,Action Crime Horror Thriller,red state,atf agent ball gag cult leader pastor pretending to be dead,Anna Gunn Michael Angarano Stephen Root Kevin Smith Action Crime Horror Thriller atf agent ball gag cult leader pastor pretending to be dead
Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,Adventure Fantasy,mirrormask,circus dark fantasy dream dream world fantasy world,Stephanie Leonidas Gina McKee Rob Brydon Dave McKean Adventure Fantasy circus dark fantasy dream dream world fantasy world
Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,Documentary Music,samsara,hall of mirrors mont saint michel france palace of versailles turkey the country yellowstone national park,Collin Alfredo St. Dic Balinese Tari Legong Dancers Puti Sri Candra Dewi Ron Fricke Documentary Music hall of mirrors mont saint michel france palace of versailles turkey the country yellowstone national park
Ruggero Deodato,Michael Berryman,Eva LaRue,Richard Lynch,Adventure Fantasy,the barbarians,bare breasts comic relief dragon gladiator harem,Michael Berryman Eva LaRue Richard Lynch Ruggero Deodato Adventure Fantasy bare breasts comic relief dragon gladiator harem
Gavin Wiesen,Michael Angarano,Blair Underwood,Rita Wilson,Drama Romance,the art of getting by,art teacher artist high school homework principal,Michael Angarano Blair Underwood Rita Wilson Gavin Wiesen Drama Romance art teacher artist high school homework principal
Mora Stephens,Ray Winstone,Alexandra Breckenridge,Elena Satine,Drama Thriller,zipper,escort f word no opening credits one word title prosecutor,Ray Winstone Alexandra Breckenridge Elena Satine Mora Stephens Drama Thriller escort f word no opening credits one word title prosecutor
Mars Callahan,Chazz Palminteri,Ricky Schroder,Ernie Reyes Jr.,Drama Thriller,poolhall junkies,beating hustler jail money revenge,Chazz Palminteri Ricky Schroder Ernie Reyes Jr. Mars Callahan Drama Thriller beating hustler jail money revenge
Mike Figgis,Kelly Macdonald,Saffron Burrows,Julian Sands,Drama,the loss of sexual innocence,1950s italian murder tunisia vomiting,Kelly Macdonald Saffron Burrows Julian Sands Mike Figgis Drama 1950s italian murder tunisia vomiting
Leos Carax,Kylie Minogue,Leos Carax,Denis Lavant,Drama Fantasy,holy motors,boudoir death insanity male full frontal nudity penis,Kylie Minogue Leos Carax Denis Lavant Leos Carax Drama Fantasy boudoir death insanity male full frontal nudity penis
David Gordon Green,Nicolas Cage,Tye Sheridan,Ronnie Gene Blevins,Drama,joe,alcoholic cigarette smoking father son relationship teenage boy woods,Nicolas Cage Tye Sheridan Ronnie Gene Blevins David Gordon Green Drama alcoholic cigarette smoking father son relationship teenage boy woods
Stefan Schwartz,Peter McNamara,Dan Futterman,Ralph Ineson,Comedy Crime Romance,shooting fish,con artist money orphan scam secretary,Peter McNamara Dan Futterman Ralph Ineson Stefan Schwartz Comedy Crime Romance con artist money orphan scam secretary
Renny Harlin,Viggo Mortensen,Lane Smith,Hal Landon Jr.,Crime Drama Horror Thriller,prison,electric chair haunting prison prisoner revenge,Viggo Mortensen Lane Smith Hal Landon Jr. Renny Harlin Crime Drama Horror Thriller electric chair haunting prison prisoner revenge
Robert Lee King,Lauren Ambrose,Kathleen Robertson,Beth Broderick,Comedy Horror Mystery,psycho beach party,cliche exchange student slasher spoof surfing,Lauren Ambrose Kathleen Robertson Beth Broderick Robert Lee King Comedy Horror Mystery cliche exchange student slasher spoof surfing
Kevin Allen,Craig Ferguson,Frances Fisher,Mary McCormack,Comedy,the big tease,competition fake documentary hairdresser nudity reference to liberace,Craig Ferguson Frances Fisher Mary McCormack Kevin Allen Comedy competition fake documentary hairdresser nudity reference to liberace
David Schwimmer,Noah Emmerich,Jordan Trovillion,Zoe Levin,Crime Drama Thriller,trust,counselor fbi revenge motive school teenage girl,Noah Emmerich Jordan Trovillion Zoe Levin David Schwimmer Crime Drama Thriller counselor fbi revenge motive school teenage girl
Barry Levinson,Anna Friel,Brían F. O'Byrne,Pauline McLynn,Comedy,an everlasting piece,alopecia belfast northern ireland ireland irish republican army scalper,Anna Friel Brían F. O'Byrne Pauline McLynn Barry Levinson Comedy alopecia belfast northern ireland ireland irish republican army scalper
Sam Miller,Rachel Griffiths,Alan Williams,Rob Jarvis,Comedy Romance,among giants,australian female armpit hair friend sheffield yorkshire,Rachel Griffiths Alan Williams Rob Jarvis Sam Miller Comedy Romance australian female armpit hair friend sheffield yorkshire
Anne Fontaine,Robin Wright,Naomi Watts,Ben Mendelsohn,Drama Romance,adore,beach friend friendship happiness neighbor,Robin Wright Naomi Watts Ben Mendelsohn Anne Fontaine Drama Romance beach friend friendship happiness neighbor
Dan Ireland,Salma Hayek,Danny Arroyo,Olivia d'Abo,Comedy Drama Romance,the velocity of gary,dying hospital parenthesis in title punctuation in title tears,Salma Hayek Danny Arroyo Olivia d'Abo Dan Ireland Comedy Drama Romance dying hospital parenthesis in title punctuation in title tears
Fernando León de Aranoa,Luis Tosar,Enrique Villén,Aida Folch,Comedy Drama,mondays in the sun,australia bar shipyard siamese twins tuna,Luis Tosar Enrique Villén Aida Folch Fernando León de Aranoa Comedy Drama australia bar shipyard siamese twins tuna
Jim Mickle,Connor Paolo,Michael Cerveris,Nick Damici,Drama Horror Sci-Fi,stake land,canada post apocalypse road movie vampire vampire hunter,Connor Paolo Michael Cerveris Nick Damici Jim Mickle Drama Horror Sci-Fi canada post apocalypse road movie vampire vampire hunter
Stephen Kay,Keanu Reeves,Marg Helgenberger,Gretchen Mol,Biography Drama,the last time i committed suicide,1940s female bare foot picket fence tire vomiting,Keanu Reeves Marg Helgenberger Gretchen Mol Stephen Kay Biography Drama 1940s female bare foot picket fence tire vomiting
Karim Aïnouz,Wagner Moura,Clemens Schick,Jesuíta Barbosa,Drama,futuro beach,gay male frontal nudity male nudity male rear nudity nudity,Wagner Moura Clemens Schick Jesuíta Barbosa Karim Aïnouz Drama gay male frontal nudity male nudity male rear nudity nudity
Sam Levinson,George Kennedy,Ezra Miller,Demi Moore,Comedy Drama,another happy day,countryside marriage maryland usa wedding,George Kennedy Ezra Miller Demi Moore Sam Levinson Comedy Drama countryside marriage maryland usa wedding
Julian Gilbey,Ed Speleers,Eamonn Walker,Sean Harris,Action Adventure Crime Thriller,a lonely place to die,kidnapper mountaineering scotland scottish highlands sniper,Ed Speleers Eamonn Walker Sean Harris Julian Gilbey Action Adventure Crime Thriller kidnapper mountaineering scotland scottish highlands sniper
Vincenzo Natali,David Hewlett,Angelo Tsarouchas,Marie-Josée Croze,Comedy Fantasy,nothing,imagination one word title part animation surrealism virtual reality,David Hewlett Angelo Tsarouchas Marie-Josée Croze Vincenzo Natali Comedy Fantasy imagination one word title part animation surrealism virtual reality
Aleksandr Veledinskiy,Konstantin Khabenskiy,Elena Lyadova,Eugenia Khirivskaya,Adventure Drama,the geographer drank his globe away,rafting russia school student teacher,Konstantin Khabenskiy Elena Lyadova Eugenia Khirivskaya Aleksandr Veledinskiy Adventure Drama rafting russia school student teacher
Peter H. Hunt,Blythe Danner,Ken Howard,Howard Caine,Drama Family History Musical,1776,continental congress debate declaration of independence massachusetts pennsylvania,Blythe Danner Ken Howard Howard Caine Peter H. Hunt Drama Family History Musical continental congress debate declaration of independence massachusetts pennsylvania
Howard Hughes,Jean Harlow,Marian Marsh,James Hall,Drama War,hell's angels,bomb bombing mission munitions oxford royal flying corps,Jean Harlow Marian Marsh James Hall Howard Hughes Drama War bomb bombing mission munitions oxford royal flying corps
Edward Burns,Debra Messing,Rosemarie DeWitt,Peter Jacobson,Comedy Drama Romance,purple violets,directed by star written and directed by cast member,Debra Messing Rosemarie DeWitt Peter Jacobson Edward Burns Comedy Drama Romance directed by star written and directed by cast member
Phil Joanou,Lily Rabe,Shannon Woodward,Kira McLean,Horror,the veil,documentary crew mass suicide survivor tied feet tied up while barefoot,Lily Rabe Shannon Woodward Kira McLean Phil Joanou Horror documentary crew mass suicide survivor tied feet tied up while barefoot
Sean Byrne,Robin McLeavy,Jessica McNamee,Victoria Thaine,Horror Thriller,the loved ones,escape high school high school prom prom prom king,Robin McLeavy Jessica McNamee Victoria Thaine Sean Byrne Horror Thriller escape high school high school prom prom prom king
Chris Stokes,Kristen Quintrall,Rachel Sterling,Black Thomas,Horror,no vacancy,motel psychopath psychopathic killer road trip vomiting,Kristen Quintrall Rachel Sterling Black Thomas Chris Stokes Horror motel psychopath psychopathic killer road trip vomiting
Bruce Macdonald,Rachel Hendrix,Cheryl Ladd,Diana Vickers,Adventure Biography Drama Romance,the perfect wave,boyfriend girlfriend relationship friend praying surfing wave,Rachel Hendrix Cheryl Ladd Diana Vickers Bruce Macdonald Adventure Biography Drama Romance boyfriend girlfriend relationship friend praying surfing wave
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History,ben-hur,chariot race epic false accusation jerusalem slave,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History chariot race epic false accusation jerusalem slave
Fred Zinnemann,Robert Shaw,Susannah York,Paul Scofield,Biography Drama History,a man for all seasons,catholic chancellor divorce king henry viii thomas more,Robert Shaw Susannah York Paul Scofield Fred Zinnemann Biography Drama History catholic chancellor divorce king henry viii thomas more
Sidney Lumet,Robert Duvall,Faye Dunaway,William Holden,Drama Romance,network,media monologue television television network television news,Robert Duvall Faye Dunaway William Holden Sidney Lumet Drama Romance media monologue television television network television news
Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,Drama History Romance War,gone with the wind,battle of the sexes gallantry honesty indifference scandal,Hattie McDaniel George Reeves Thomas Mitchell Victor Fleming Drama History Romance War battle of the sexes gallantry honesty indifference scandal
Richard Raymond,Tom Cullen,Reece Ritchie,Marama Corlett,Biography Drama,desert dancer,dance dancer dancing desert iran,Tom Cullen Reece Ritchie Marama Corlett Richard Raymond Biography Drama dance dancer dancing desert iran
Sam Peckinpah,James Coburn,Slim Pickens,Warren Oates,Adventure War Western,major dundee,apache apache indian confederate mexico scout,James Coburn Slim Pickens Warren Oates Sam Peckinpah Adventure War Western apache apache indian confederate mexico scout
Alan Jacobs,Snoop Dogg,Laz Alonso,Nicholas Gonzalez,Drama,down for life,latina south central los angeles,Snoop Dogg Laz Alonso Nicholas Gonzalez Alan Jacobs Drama latina south central los angeles
George Sidney,Keenan Wynn,Howard Keel,Betty Hutton,Biography Comedy Musical Romance Western,annie get your gun,girl gun love sharpshooter the end,Keenan Wynn Howard Keel Betty Hutton George Sidney Biography Comedy Musical Romance Western girl gun love sharpshooter the end
Christopher Morris,Kayvan Novak,Riz Ahmed,Alex Macqueen,Comedy Crime Drama,four lions,accidental shooting bird crow exploding animal muslim,Kayvan Novak Riz Ahmed Alex Macqueen Christopher Morris Comedy Crime Drama accidental shooting bird crow exploding animal muslim
Andrucha Waddington,Fernanda Montenegro,Seu Jorge,Fernanda Torres,Drama,house of sand,1910s desert dunes goat slave,Fernanda Montenegro Seu Jorge Fernanda Torres Andrucha Waddington Drama 1910s desert dunes goat slave
Peter Stebbings,Michael Kelly,Tony Nappo,Charlotte Sullivan,Comedy Crime Drama,defendor,gun running organized crime pimp superhero vigilante,Michael Kelly Tony Nappo Charlotte Sullivan Peter Stebbings Comedy Crime Drama gun running organized crime pimp superhero vigilante
Vincente Minnelli,Gladys Cooper,Reginald Owen,Ellen Ross,Adventure Comedy Musical Romance,the pirate,hoop horseback riding love pirate singer,Gladys Cooper Reginald Owen Ellen Ross Vincente Minnelli Adventure Comedy Musical Romance hoop horseback riding love pirate singer
Dagur Kári,Alice Olivia Clarke,Susan Blommaert,Stephen Henderson,Drama,the good heart,bar bartender death heart attack mentor protege relationship,Alice Olivia Clarke Susan Blommaert Stephen Henderson Dagur Kári Drama bar bartender death heart attack mentor protege relationship
Nicholas Hytner,Dominic Cooper,Russell Tovey,James Corden,Comedy Drama,the history boys,gay headmaster oxford school teacher,Dominic Cooper Russell Tovey James Corden Nicholas Hytner Comedy Drama gay headmaster oxford school teacher
Jaume Collet-Serra,Liam Neeson,Frank Langella,Aidan Quinn,Action Mystery Thriller,unknown,agriculture airport amnesia nurse scientist,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller agriculture airport amnesia nurse scientist
John Schlesinger,Brenda Vaccaro,Barnard Hughes,John McGiver,Drama,midnight cowboy,gay homosexual homosexuality hustler male rear nudity,Brenda Vaccaro Barnard Hughes John McGiver John Schlesinger Drama gay homosexual homosexuality hustler male rear nudity
Jim Abrahams,Peter Graves,Lloyd Bridges,Barbara Billingsley,Comedy,airplane!,air traffic controller airplane airport pilot spoof,Peter Graves Lloyd Bridges Barbara Billingsley Jim Abrahams Comedy air traffic controller airplane airport pilot spoof
Kevin Carraway,Michael Jai White,Max Ryan,Jon Osbeck,Action Thriller,chain of command,army michael jai white ohio steve austin,Michael Jai White Max Ryan Jon Osbeck Kevin Carraway Action Thriller army michael jai white ohio steve austin
F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,Comedy Drama,friday,bully drug dealer first part neighbor neighborhood,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama bully drug dealer first part neighbor neighborhood
Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,Crime Drama Thriller,menace ii society,1990s escape graduation hustler street,Jada Pinkett Smith Larenz Tate Khandi Alexander Albert Hughes Crime Drama Thriller 1990s escape graduation hustler street
Michael Gornick,George Kennedy,Holt McCallany,Dorothy Lamour,Comedy Fantasy Horror Thriller,creepshow 2,anthology hit and run hit by a car living statue melting woman,George Kennedy Holt McCallany Dorothy Lamour Michael Gornick Comedy Fantasy Horror Thriller anthology hit and run hit by a car living statue melting woman
Sam Peckinpah,Slim Pickens,Jason Robards,L.Q. Jones,Comedy Drama Romance Western,the ballad of cable hogue,desert partner prostitute stagecoach water,Slim Pickens Jason Robards L.Q. Jones Sam Peckinpah Comedy Drama Romance Western desert partner prostitute stagecoach water
Richard Brooks,John Forsythe,Robert Blake,Will Geer,Biography Crime Drama History,in cold blood,homoeroticism kansas murder police robbery,John Forsythe Robert Blake Will Geer Richard Brooks Biography Crime Drama History homoeroticism kansas murder police robbery
Fred Zinnemann,Colleen Dewhurst,Peter Finch,Beatrice Straight,Drama,the nun's story,belgium congo convent nun nurse,Colleen Dewhurst Peter Finch Beatrice Straight Fred Zinnemann Drama belgium congo convent nun nurse
Jack Smight,Janet Leigh,Robert Wagner,Shelley Winters,Action Crime Drama Mystery Thriller,harper,kidnapping los angeles california neo noir private detective ransom,Janet Leigh Robert Wagner Shelley Winters Jack Smight Action Crime Drama Mystery Thriller kidnapping los angeles california neo noir private detective ransom
Alfred Hitchcock,Bernard Cribbins,Jean Marsh,Clive Swift,Thriller,frenzy,penknife police rape serial killer united kingdom,Bernard Cribbins Jean Marsh Clive Swift Alfred Hitchcock Thriller penknife police rape serial killer united kingdom
Robert Eggers,Julian Richings,Kate Dickie,Ralph Ineson,Horror Mystery,the witch,black magic goat isolation naked woman witch,Julian Richings Kate Dickie Ralph Ineson Robert Eggers Horror Mystery black magic goat isolation naked woman witch
